Nome do Cidadão;Dias para Resposta;Pedido;Status do Pedido;Identidade de gênero;Cor;Estado 
Cidadão 19;136;Meu protocolo de solicitação de documento de viagem foi solicitado dia 22/12/2019, com validade de 90 dias, mais durante o período da pandemia não conseguir agendar na PF para pegar o passaporte, tem falando que após 90 dias o documento é cancelado automaticamente, como não tive culpa de não ter pego por motivos de saúde e fazer parte do grupo de risco, meu documento ainda é válido ? ;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 64;154;"Consulto V. Senhorias se existe algum controle/filtro para concessão do auxílio emergencial para acadêmicos contemplados por benefícios assistenciais implementados pelas instituições federais de ensino, que mantiveram as bolsas atualmente vigentes mesmo no período de suspensão das aulas em razão do covid-19. Consulto ainda se os benefícios assistenciais estudantis concedidos pela Rede Federal de Ensino se enquadram na categoria ""benefício assistencial ou programa de transferência de renda federal"" entabulada no inciso III do art. 2º da  LEI Nº 13.982/2020.";Acesso Concedido;Mulher Cisgênero;Preta;Amapá (AP)
Cidadão 65;71;Gostaria de saber os órgãos públicos que disponibilizaram verba para a produção do filme Bacurau e o valor que foi cedido por cada um.;Acesso Concedido;Homem Cisgênero;Amarela;São Paulo (SP)
Cidadão 66;162;O Requerente solicita o acesso a todos os documentos relacionados a projetos licitados pela Lei de Incentivo à Cultura, a partir do dia 1 de janeiro de 2019 até 31 de março de 2020, incluindo – mas não se limitando a – as seguintes informações:  Nome dos projetos que receberam apoiados pela lei,  Os orçamentos e investimentos realizados,  Documentos claros e objetivos sobre o repasse de verbas.   Se possível, apresentar a comprovação da realização da iniciativa patrocinada e o relatório final com a planilha de avaliação. ;Não se trata de solicitação de informação;Homem transgênero;Branca;Alagoas (AL)
Cidadão 67;539;Tendo em vista que o pedido de acesso à informação NUP 23480002320202004, feito a este órgão não esclareceu por completo ao que se desejava, volto no intuito de saná-la. Em resposta aos itens 2 e 7 daquele pedido, conforme segue abaixo: “2) Há algum Programa de Formação para os Novos Servidores? Se sim, quais disciplinas fazem parte deste programa?” “7) Os conceitos do Ensino Profissional e Tecnológico fazem parte como conteúdo para formação dos servidores – docentes e Tae? Se sim, I especificar de que forma acontece – curso, treinamento ou outro meio, II tempo de duração, III o momento – para os novos servidores ou todos e IV se é dado de forma pontual ou contínua?” Foi disponibilizado no sistema, conforme consta em anexo, a programação do curso de integração de docentes. Posteriormente, em nível recursal, foi disponibilizado por e-mail o Memo Circular nº 019/2016-DGPE, que traz a programação do Seminário de Integração Institucional para servidores Técnico-Administrativos. Embora esta última programação enviada por e-mail esteja com título direcionando apenas para os servidores Técnico-Administrativos, no esclarecimento por e-mail foi informado que era também para o docentes, conforme segue abaixo: “...conforme orientação e em anexo o memorando circular n° 019/2016-DGPE com a programação da última integração dos servidores, que foram para os servidores docentes e técnicos administrativos naquela ocasião.” Diante de todo exposto, vamos às solicitações: 1)  A programação do curso de integração de docentes que consta, em anexo, no E-sic se refere à qual período? (informar todos os anos em que foi aplicado esta programação) 2) O anexo enviado agora por e-mail - memorando circular n° 019/2016-DGPE com a programação da última integração dos servidores – foi para os docentes e técnicos administrativos ou somente para este último?  3) Quanto a programação do Seminário de Integração Institucional para servidores Técnico-Administrativos, disponibilizado por e-mail, foi infor;Pergunta Duplicada/Repetida;Homem Cisgênero;Amarela;Pernambuco (PE)
Cidadão 68;264;Tendo em vista que houve um corte na solicitação do pedido de acesso à informação NUP 23480008890202008, segue aqui a continuação da solicitação.   3) Quanto a programação do Seminário de Integração Institucional para servidores Técnico-Administrativos, disponibilizado por e-mail, foi informado que: “não houve mais integração após o ano referido, 2016, dados os vários fatores impeditivos, como por exemplo emergência de contratação. No mais ficam respondidas as demais dúvidas com relação ao item 7, tendo em vista que apenas havendo naquele ano, foi pontual a formação e não continuada.”. Assim, por gentileza informar se esta programação foi aplicada apenas no ano de 2016. 4) Caso tenha acontecido algum Programa de Formação para os novos servidores antes de 2016 e, que tenha sido diferente da programação do referido ano, por gentileza informar a programação e o período, caso seja possível. ;Acesso Negado;Homem Cisgênero;Preta;Paraíba (PB)
Cidadão 69;65;Sou mãe solteira, o pai da minha filha não registrou e não ajuda financeiramente. Por direito, eu receberia 1200 reais, porém só caiu 600 na minha conta. Gostaria de me infirmar oq aconteceu e como solicitar o restante;Pergunta Duplicada/Repetida;Mulher transgênero;Parda;Espírito Santo (ES)
Cidadão 5;157;Solicito acesso ao dossiê com informações de inteligência que demonstra uma suposta articulação entre o presidente da Câmara dos Deputados Rodrigo Maia, o governador de São Paulo João Dória e alguns ministros do STF que tem como objetivo retirar o presidente Jair Bolsonaro do poder, de acordo com a reportagem publicada no jornal Folha de São Paulo e que pode ser acessada no seguinte endereço eletrônico:  https://www1.folha.uol.com.br/colunas/painel/2020/04/bolsonaro-diz-ter-dados-de-inteligencia-de-plano-de-maia-doria-e-stf-contra-ele.shtml   ;Acesso Concedido;Homem Cisgênero;Parda;Pernambuco (PE)
Cidadão 52;31;Solicito somente a DECISÃO do Processo administrativo nº. 4232.740735/2016-97 ;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;Rio Grande do Norte (RN)
Cidadão 53;221;Meus respeitosos cumprimentos. Em março deste ano Sua Excelência o presidente da República afirmou que as eleições de 2018 teriam sido fraudadas. Esta semana, de acordo com o que circula na imprensa, ele teria dito que o presidente da Câmara federal, o governador de SP e um setor do STF estariam a tramar um plano para dar um golpe e derrubá-lo. Gostaria: 1) que me fosse confirmada a procedência desses fatos alegados por nosso chefe de Estado, 2) que me sejam confirmadas e enviadas as provas e o dossiê que teoricamente estariam a sustentar tais acusações, 3) e que me seja informado que medidas a Presidência pretende tomar a respeito, em eventual caso de tratar-se de fatos confirmados. Meu agradecimento desde já.;Pergunta Duplicada/Repetida;Homem Cisgênero;Pardo;Bahia (BA)
Cidadão 54;125;Boa tarde! Gostaria de comercializar o pão de sal assado congelado, 4 unidades em uma bandeja embalada. O objetivo é que o consumidor leve pra casa este pão e faça o aquecimento apenas para poder consumir. Gostaria de saber se posso comercializar as 4 unidades com o peso de 200g, uma vez que garantirei o peso mínimo de cada pão 50g. Aguardo orientação, obrigada!;Acesso Negado;Homem Cisgênero;Parda;São Paulo (SP)
Cidadão 36;61;Acesso à(s) fonte(s) de dado(s) que forneça(m) a vazão instantânea defluente da UHE Xingó (barramento código 49340080);Não se trata de solicitação de informação;Mulher Cisgênero;Parda;Minas Gerais (MG)
Cidadão 37;106;Prezados, bom dia!  Gostaria de saber se a embalagem PET-PCR pode ser empregada em embalagens retornáveis (Tipo as utilizadas pela coca-cola). Caso seja possível, como poderia realizar? Quais são as legislações para o uso da PET-PCR? Pelas minhas pesquisas encontrei a RDC n° 20/2008. Existem outras?  Obrigado;Não se trata de solicitação de informação;Mulher Cisgênero;Amarela;Espírito Santo (ES)
Cidadão 18;74;Cópia Inteiro Teor do Plano de Desocupação e Reassentamento das famílias afetadas na área do Lago de Sobradinho (construção barragem Sobradinho);Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 19;51;Cópia Inteiro Teor do Plano de Desocupação e Reassentamento das famílias afetadas na área do reservatório de Itaparica (construção barragem Itaparica);Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 27;104;Solicito o envio dos ofícios SRD de número: 001/2020, 002/2020, 003/2020, 004/2020, 005/2020, 006/2020, 007/2020, 008/2020, 010/2020, 011/2020, 012/2020, 014/2020, 017/2020, 021/2020, 023/2020, 024/2020, 028/2020. Solicito também o envio das cartas-consultas que deram origem aos referidos ofícios.;Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 28;60;Peço vistas integral ao Processo Funai n 08620.051046/2012-43 em meio virtual pelo tempo limite máximo.;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 43;36;Mulher no exército;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;Mato Grosso do Sul (MS)
Cidadão 44;255;Considerando o direito de ter acesso a todo material disponível para promover a minha defesa em uma notificação de autuação de número 0062151812, auto de infração R459555995 expedida em 20/02/2020.Esta signatária solicita a cópia do laudo de aferição do equipamento – FIXO/PERKONS/SMARTPK PROI/AFL28 – 1371374 - Realizado por instituição credenciada. O motivo da solicitação é que foi observado que tal informação não consta em nenhum site oficial, prejudicando assim a minha defesa, tendo em vista que é primordial que os radares sejam aferidos e tenham sua aferição dentro do prazo de validade. Pede e aguarda o atendimento de tal prova para sustentar minha defesa e provar que a medida tem caráter ilegal e fere os princípios de legalidade exigido para o exercício da função pública. O prazo para a imposição de defesa é 14/05/2020 o que será feito reforçando a solicitação presente. Grata.;Acesso Concedido;Homem Cisgênero;Parda;Minas Gerais (MG)
Cidadão 45;80;Venho por meio da presente manifestação, requerer, com base nos artigos 6º e 7º da Lei de Acesso à Informação (12.527/2011), seja disponibilizado cópia integral do processo administrativo em epígrafe, referente à Dispensa de Licitação nº 47/2020.;Órgão não tem competência para responder sobre o assunto;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 36;143;Prezados, bom dia.  Solicito o envio favor, da portaria ou mesmo diretrizes base que versem sobre os procedimentos de comunicação do Iphan para com os empreendedores e arqueólogos envolvidos no processo de licenciamento ambiental, e as obrigações legais de cada parte, especificamente em casos de desligamento do arqueólogo coordenador geral do empreendimento, e a não apresentação de relatório, que é vagamente citada na IN nº 001/2015.  Certos da sua atenção, adianto meus ternos agradecimentos.;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;Minas Gerais (MG)
Cidadão 37;85;Meus respeitosos cumprimentos. Gostaria de saber quais foram as razões para a exoneração do ministro Mandetta e, ainda, quais foram os erros que, de acordo com a avaliação técnica da Presidência, ele teria cometido na condução dos trabalhos da pasta da Saúde. Meu agradecimento desde já.;Não se trata de solicitação de informação;Mulher Cisgênero;Amarela;Espírito Santo (ES)
Cidadão 18;77;Prezados senhores,  Solicito o envio dos expedientes que correspondem aos números de conhecimento 202003180061PR, 201907250087PR e 201907230185PR. Os protocolos seguem em anexo.  Obrigado! ;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 43;172;Sou pesquisadoras no Nucelo de economia regional e politicas publicas da UEPG e faco trimestralmente boeltim sobre emprego e renda de cada município de 19 municípios aqui do Paraná com o intuito de auxiliar nas politicas publicas visando promover o desenvolvimento regional. O problema é que fui pegar os dados no caged, como sempre faço e para minha surpresa o ultimo dado foi d dez de 2019. Primeiro: o que aconteceu? segundo, solicito essas informações urgente. quero medir o impacto do covid 10 nesse primeiro mes. ;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Mato Grosso do Sul (MS)
Cidadão 44;131;Sou graduante na UFERSA no estado do Rio Grande do Norte. Para a conclusão do meu curso, escolhi o tema do meu TCC sobre o uso da pele do tilápia para queimaduras de 2°grau em humanos, de acordo com as literaturas a UFC foi a universidade pioneira dessa método. Peço encarecidamente que a UFC me disponibilize  dados e informações no qual foram obtidos através pesquisas. Desde já agradeço.;Não se trata de solicitação de informação;Homem Cisgênero;Parda;Minas Gerais (MG)
Cidadão 45;39;Quantos Municípios utilizam o S2ID? Quantos Estados utilizam o S2ID?;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 46;280;Bom dia prezados senhores: Verifiquei que o ingrediente polidextrose é considerado um aditivo, e que para diferentes categorias a pesar de ser BPF, segundo a RDC 45, possui funções de aditivos diferenciadas e  que  em  alguns casos é  um ingrediente aditivo,  exemplo no caso de  Suplementos Alimentares onde ser usado como ingredientes com funcionalidade portador de Fibras, então  gostaria de entender, é  ingrediente ou é aditivo.  E no caso de ser unicamente aditivo e seguindo a legislação de rotulagem necessito colocar a função de aditivo? Mesmo no caso do Suplemento onde será fonte d e fibras? Já para gelados comestíveis em que a Polidextrose foi usada, no passado, como substituto de corpo para produtos sem gordura e sem açúcar não possui esta função hoje, embora na rotulagem do mercado esteja como agente de corpo. Poderiam me explicar por favor, a polidextrose é aditivo ou ingrediente? Posso usar 100% como suplemento, fonte de fibra? Como rotulo? Grata,  Gisela;Acesso Concedido;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 1;86;Boa trde meu filhos estavam na escola estadual porem não foram incluso no auxilio merenda e eles estao nos critérios pedido não sei o q acontece  vou anexar o comprovante q recebo bolsa e a escola q estudam se poder me ajudar obrigada .;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
